50,KOI-4871,,2023-04-26 10:16:47.349241+00,[],,303,,out0.png,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/50/download.png,,KOI-4871,0,0,https://embed.deepnote.com/b4c251b4-c11a-481e-8206-c29934eb75da/b56a0704304940e49c38823795edaa20/465beb64fd954806bad41557ab6b406d?height=641,1,in progress,,,,
45,Kepler-10,,2023-04-25 14:43:10.521093+00,[],,295,,out0.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Kepler-10_star_system.jpg,,Kepler-10,0,0,https://embed.deepnote.com/b4c251b4-c11a-481e-8206-c29934eb75da/b56a0704304940e49c38823795edaa20/84207144a5c440d78124657345fca05f?height=1460.171875,2,incomplete,,,,
43,Saturn clone,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-04-21 04:20:47+00,,,-133.85,,https://www.cfht.hawaii.edu/Science/Astros/Imageofweek/ciw-image/131299-1.gif,https://a-z-animals.com/media/2022/07/iStock-1362060571-1024x552.jpg,,e465789,0,0,,,incomplete,,,,17.5711
42,Jupiter,a64b1cbc-6b55-4fde-a863-44792c8398bb,2023-03-28 11:50:58+00,,,565,"'"0xCdc5929e1158F7f0B320e3B942528E6998D8b25c'"",out0.png,https://exoplanets.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcElEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5e7f055277aec9bb8da6555fd08a482b9f2f219f/1332_lava.jpg?disposition=inline,,TIC Sol1e,0,0,,,incomplete,,,,
67,Kepler-186,,2023-10-26 04:24:35.63617+00,[],,,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/8tyiq6f717kz-removebg-preview.png,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/8tyiq6f717kz-removebg-preview.png,,,0,0,,,incomplete,-0.34,0.06102134,0.543276,12
47,Kepler-22,,2023-04-25 23:54:39.844245+00,[],,294,,out0.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Kepler-22b.jpg/1200px-Kepler-22b.jpg,,Kepler-22,0,0,https://embed.deepnote.com/b4c251b4-c11a-481e-8206-c29934eb75da/b56a0704304940e49c38823795edaa20/cc9cea7e9e1448ad984db621ea412472?height=1245.5625,1,in progress,,,,
60,TOI 1241.01,,2023-07-31 05:02:15.014666+00,[],,324,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/60/info.jpg,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/60/phase.png,,TIC 159107668.01,0,0,https://embed.deepnote.com/50ad3984-69a9-496e-a121-efb59231e7e9/0e23e5e5e7d1486a9cdf09c91f818737/786f2b1633974744b7494397d4f4c4a1?height=377.71875,2,incomplete,5826,5.677181,1.05,11.1634
59,TrES-2 b,,2023-07-26 00:00:26.832962+00,[],cebdc7a2-d8af-45b3-b37f-80f328ff54d6,890,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Kepler_First_Light_Detail_TrES-2.jpg/170px-Kepler_First_Light_Detail_TrES-2.jpg,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/59/binned.png,https://www.universetoday.com/wp-content/uploads/2009/08/ExoPlanet02.jpg (old cover),TIC 399860444,2.47,0,https://embed.deepnote.com/50ad3984-69a9-496e-a121-efb59231e7e9/0e23e5e5e7d1486a9cdf09c91f818737/90838acbef1f4f91af5a5e458ffa4a04?height=596.1875,1,in progress,5854,1.09246325,1.057,10.854
520,KOI-4878,,2023-04-30 12:59:24+00,,,1,,,,"",,1,1,,,incomplete,,,,
530,KOI-456,,2023-04-30 12:59:31+00,,,1,,,,"",,1,1,,,incomplete,,,,
8,Mars,71480dfe-7c9f-48fb-8abf-711040d2b5be,2023-03-07 10:28:01.054865+00,[],,100,"'"0xCdc5929e1158F7f0B320e3B942528E6998D8b25c'"",cebdc7a2-d8af-45b3-b37f-80f328ff54d6.png,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/covers/cebdc7a2-d8af-45b3-b37f-80f328ff54d6_cover_1676019303662,0xdf35Bb26d9AAD05EeC5183c6288f13c0136A7b43,TIC 53782,0,0,,,incomplete,6965,4.24766159,1.53,12.0315
