1,Kepler-69c,KOI 172.02,Super-Earth,1.71,2.14,2.36,0.73,548.15,325.15,0.64,242.47,in progress,,2023-12-09 22:45:53.406827+00,,2
2,Kepler-186f,KOI 571.05,Terrestrial Earth-like,1.17,1.44,,1.17,-85,,0.432,129.95,in progress,,2023-12-11 02:14:32.494124+00,,1
3,Kepler-442b,KOI-4742.01,Terrestrial Super-Earth,1.34,2.3,,,233,,0.409,112.3,in progress,,2023-12-11 07:04:10.985628+00,,3
4,Kepler-22b,KOI-87.01,Water world,2.1,9.1,5.2,,279,295,0.812,289.86,in progress,,2023-12-11 07:06:10.540091+00,,4
5,Trappist-1f,TOI 6838.05,Terrestrial earth-size,1.045,1.039,5.009,,217.65,,0.03749,9.21,in progress,,2023-12-11 07:10:40.276653+00,,5
6,TOI-700d,TOI-700.02,Goldilocks terrestrial earth-like,1.073,1.72,,,268.85,,0.1633,37.42,in progress,,2023-12-11 07:12:23.761093+00,,6
