Order,Type,Mean,Std,Min,Max,SNR
32,1,657.97284,184.5375,184.8516,979.0444,3.5655236
33,1,645.57,172.74744,230.20625,970.96136,3.7370744
34,1,660.9991,171.58258,238.34076,994.49646,3.8523672
35,1,663.22327,177.40149,208.38524,986.5531,3.738544
36,1,665.03,170.91351,176.4718,1008.24115,3.8910325
37,1,634.5476,167.03134,161.26553,957.38904,3.7989733
38,1,677.4417,168.02583,265.20178,991.854,4.031771
39,1,672.3644,164.66176,268.98926,988.89496,4.0833063
40,1,662.7405,162.31618,229.83357,941.22705,4.0830216
41,1,594.21295,182.56433,38.2699,904.557,3.2548141
42,1,615.1559,150.51137,247.16171,904.4603,4.0871058
43,1,597.3573,141.14449,233.92899,873.49805,4.2322397
44,1,536.6866,151.60764,51.17423,806.2339,3.5399706
45,1,504.3814,133.51385,79.10211,758.6325,3.7777457
46,1,499.35696,119.12547,179.18213,782.61676,4.1918573
47,1,471.52563,110.89748,186.35382,676.6263,4.251906
48,1,439.19962,102.964645,61.456436,641.8466,4.265538
49,1,309.94226,128.25166,-36.29133,554.97186,2.4166725
50,1,362.60284,86.681145,122.416084,598.5552,4.1831803
51,1,344.71274,78.39967,128.2901,532.0143,4.3968644
52,1,311.8661,73.32975,98.36385,485.01465,4.2529273
53,1,285.3555,69.340515,46.194603,433.91992,4.1152782
54,1,235.42946,66.71889,-7.9525723,385.85965,3.528678
55,1,222.9345,60.16129,10.575523,394.23074,3.7056136
56,1,187.05243,47.381115,17.50217,343.48383,3.9478266
57,1,164.73903,44.43402,33.21275,287.49594,3.7074976
58,1,126.3636,46.897007,-2.178888,1175.9065,2.6944919
